    x       f(x)    |       x       f(x)  
 _________________________________________
   0.0   -400.00    |      0.1   -390.05
   0.2   -380.19    |      0.3   -370.42
   0.4   -360.74    |      0.5   -351.13
   0.6   -341.58    |      0.7   -332.11
   0.8   -322.69    |      0.9   -313.32
   1.0   -304.00    |      1.1   -294.72
   1.2   -285.47    |      1.3   -276.25
   1.4   -267.06    |      1.5   -257.88
   1.6   -248.70    |      1.7   -239.54
   1.8   -230.37    |      1.9   -221.19
   2.0   -212.00    |      2.1   -202.79
   2.2   -193.55    |      2.3   -184.28
   2.4   -174.98    |      2.5   -165.63
   2.6   -156.22    |      2.7   -146.77
   2.8   -137.25    |      2.9   -127.66
   3.0   -118.00    |      3.1   -108.26
   3.2    -98.43    |      3.3    -88.51
   3.4    -78.50    |      3.5    -68.38
   3.6    -58.14    |      3.7    -47.80
   3.8    -37.33    |      3.9    -26.73
   4.0    -16.00    |      4.1     -5.13
   4.2      5.89    |      4.3     17.06
   4.4     28.38    |      4.5     39.88
   4.6     51.54    |      4.7     63.37
   4.8     75.39    |      4.9     87.60
   5.0    100.00    |      5.1    112.60
   5.2    125.41    |      5.3    138.43
   5.4    151.66    |      5.5    165.13
   5.6    178.82    |      5.7    192.74
   5.8    206.91    |      5.9    221.33
   6.0    236.00    |      6.1    250.93
   6.2    266.13    |      6.3    281.60
   6.4    297.34    |      6.5    313.38
   6.6    329.70    |      6.7    346.31
   6.8    363.23    |      6.9    380.46
   7.0    398.00    |      7.1    415.86
   7.2    434.05    |      7.3    452.57
   7.4    471.42    |      7.5    490.63
   7.6    510.18    |      7.7    530.08
   7.8    550.35    |      7.9    570.99
   8.0    592.00    |      8.1    613.39
   8.2    635.17    |      8.3    657.34
   8.4    679.90    |      8.5    702.88
   8.6    726.26    |      8.7    750.05
   8.8    774.27    |      8.9    798.92
   9.0    824.00    |      9.1    849.52
   9.2    875.49    |      9.3    901.91
   9.4    928.78    |      9.5    956.13
   9.6    983.94    |      9.7   1012.22
   9.8   1040.99    |      9.9   1070.25
  10.0  0.1100E+04  |
