  Temperatur [K]  |   Dichte[1/cmü]  |   Ionisationsgrad
       7000.0     |     1.00E+18     |      0.000000
       8050.0     |     1.00E+18     |      0.000002
       9257.5     |     1.00E+18     |      0.000018
      10646.1     |     1.00E+18     |      0.000153
      12243.0     |     1.00E+18     |      0.000979
      14079.5     |     1.00E+18     |      0.004970
      16191.4     |     1.00E+18     |      0.020568
      18620.1     |     1.00E+18     |      0.070338
      21413.2     |     1.00E+18     |      0.197425
      24625.1     |     1.00E+18     |      0.437998
      28318.9     |     1.00E+18     |      0.725060
      32566.7     |     1.00E+18     |      0.906580
      37451.8     |     1.00E+18     |      0.973067
      43069.5     |     1.00E+18     |      1.000421
      49529.9     |     1.00E+18     |      1.064419
      56959.4     |     1.00E+18     |      1.280342
      65503.3     |     1.00E+18     |      1.618552
      75328.8     |     1.00E+18     |      1.859718
