  Temperatur [K]  |   Dichte[1/cmü]  |   Ionisationsgrad
       7000.0     |     1.00E+14     |      0.000010
       8050.0     |     1.00E+14     |      0.000164
       9257.5     |     1.00E+14     |      0.001842
      10646.1     |     1.00E+14     |      0.015203
      12243.0     |     1.00E+14     |      0.093251
      14079.5     |     1.00E+14     |      0.389332
      16191.4     |     1.00E+14     |      0.837581
      18620.1     |     1.00E+14     |      0.981884
      21413.2     |     1.00E+14     |      0.997961
      24625.1     |     1.00E+14     |      1.000385
      28318.9     |     1.00E+14     |      1.022626
      32566.7     |     1.00E+14     |      1.293268
      37451.8     |     1.00E+14     |      1.820230
      43069.5     |     1.00E+14     |      1.979032
      49529.9     |     1.00E+14     |      1.997418
      56959.4     |     1.00E+14     |      1.999602
      65503.3     |     1.00E+14     |      1.999924
      75328.8     |     1.00E+14     |      1.999983
