  Temperatur [K]  |   Dichte[1/cmü]  |   Ionisationsgrad
       5000.0     |     1.00E+13     |      0.000002
       5000.0     |     3.16E+13     |      0.000002
       5000.0     |     9.99E+13     |      0.000002
       5000.0     |     3.16E+14     |      0.000002
       5000.0     |     9.97E+14     |      0.000002
       5000.0     |     3.15E+15     |      0.000002
       5000.0     |     9.96E+15     |      0.000002
       5000.0     |     3.15E+16     |      0.000002
       5000.0     |     9.94E+16     |      0.000002
       5000.0     |     3.14E+17     |      0.000002
       5000.0     |     9.93E+17     |      0.000002
       5000.0     |     3.14E+18     |      0.000002
       5000.0     |     9.91E+18     |      0.000002
       5000.0     |     3.13E+19     |      0.000002
       5500.0     |     1.00E+13     |      0.000002
       5500.0     |     3.16E+13     |      0.000002
       5500.0     |     9.99E+13     |      0.000002
       5500.0     |     3.16E+14     |      0.000002
       5500.0     |     9.97E+14     |      0.000002
       5500.0     |     3.15E+15     |      0.000002
       5500.0     |     9.96E+15     |      0.000002
       5500.0     |     3.15E+16     |      0.000002
       5500.0     |     9.94E+16     |      0.000002
       5500.0     |     3.14E+17     |      0.000002
       5500.0     |     9.93E+17     |      0.000002
       5500.0     |     3.14E+18     |      0.000002
       5500.0     |     9.91E+18     |      0.000002
       5500.0     |     3.13E+19     |      0.000002
       6050.0     |     1.00E+13     |      0.000002
       6050.0     |     3.16E+13     |      0.000002
       6050.0     |     9.99E+13     |      0.000002
       6050.0     |     3.16E+14     |      0.000002
       6050.0     |     9.97E+14     |      0.000002
       6050.0     |     3.15E+15     |      0.000002
       6050.0     |     9.96E+15     |      0.000002
       6050.0     |     3.15E+16     |      0.000002
       6050.0     |     9.94E+16     |      0.000002
       6050.0     |     3.14E+17     |      0.000002
       6050.0     |     9.93E+17     |      0.000002
       6050.0     |     3.14E+18     |      0.000002
       6050.0     |     9.91E+18     |      0.000002
       6050.0     |     3.13E+19     |      0.000002
       6655.0     |     1.00E+13     |      0.000011
       6655.0     |     3.16E+13     |      0.000006
       6655.0     |     9.99E+13     |      0.000004
       6655.0     |     3.16E+14     |      0.000002
       6655.0     |     9.97E+14     |      0.000002
       6655.0     |     3.15E+15     |      0.000002
       6655.0     |     9.96E+15     |      0.000002
       6655.0     |     3.15E+16     |      0.000002
       6655.0     |     9.94E+16     |      0.000002
       6655.0     |     3.14E+17     |      0.000002
       6655.0     |     9.93E+17     |      0.000002
       6655.0     |     3.14E+18     |      0.000002
       6655.0     |     9.91E+18     |      0.000002
       6655.0     |     3.13E+19     |      0.000002
       7320.5     |     1.00E+13     |      0.000082
       7320.5     |     3.16E+13     |      0.000046
       7320.5     |     9.99E+13     |      0.000026
       7320.5     |     3.16E+14     |      0.000015
       7320.5     |     9.97E+14     |      0.000008
       7320.5     |     3.15E+15     |      0.000005
       7320.5     |     9.96E+15     |      0.000003
       7320.5     |     3.15E+16     |      0.000002
       7320.5     |     9.94E+16     |      0.000002
       7320.5     |     3.14E+17     |      0.000002
       7320.5     |     9.93E+17     |      0.000002
       7320.5     |     3.14E+18     |      0.000002
       7320.5     |     9.91E+18     |      0.000002
       7320.5     |     3.13E+19     |      0.000002
       8052.6     |     1.00E+13     |      0.000521
       8052.6     |     3.16E+13     |      0.000293
       8052.6     |     9.99E+13     |      0.000165
       8052.6     |     3.16E+14     |      0.000093
       8052.6     |     9.97E+14     |      0.000052
       8052.6     |     3.15E+15     |      0.000029
       8052.6     |     9.96E+15     |      0.000017
       8052.6     |     3.15E+16     |      0.000009
       8052.6     |     9.94E+16     |      0.000005
       8052.6     |     3.14E+17     |      0.000003
       8052.6     |     9.93E+17     |      0.000002
       8052.6     |     3.14E+18     |      0.000002
       8052.6     |     9.91E+18     |      0.000002
       8052.6     |     3.13E+19     |      0.000002
       8857.8     |     1.00E+13     |      0.002807
       8857.8     |     3.16E+13     |      0.001580
       8857.8     |     9.99E+13     |      0.000889
       8857.8     |     3.16E+14     |      0.000500
       8857.8     |     9.97E+14     |      0.000281
       8857.8     |     3.15E+15     |      0.000158
       8857.8     |     9.96E+15     |      0.000089
       8857.8     |     3.15E+16     |      0.000050
       8857.8     |     9.94E+16     |      0.000028
       8857.8     |     3.14E+17     |      0.000016
       8857.8     |     9.93E+17     |      0.000009
       8857.8     |     3.14E+18     |      0.000005
       8857.8     |     9.91E+18     |      0.000003
       8857.8     |     3.13E+19     |      0.000002
       9743.6     |     1.00E+13     |      0.012994
       9743.6     |     3.16E+13     |      0.007331
       9743.6     |     9.99E+13     |      0.004131
       9743.6     |     3.16E+14     |      0.002326
       9743.6     |     9.97E+14     |      0.001309
       9743.6     |     3.15E+15     |      0.000737
       9743.6     |     9.96E+15     |      0.000414
       9743.6     |     3.15E+16     |      0.000233
       9743.6     |     9.94E+16     |      0.000131
       9743.6     |     3.14E+17     |      0.000074
       9743.6     |     9.93E+17     |      0.000042
       9743.6     |     3.14E+18     |      0.000023
       9743.6     |     9.91E+18     |      0.000013
       9743.6     |     3.13E+19     |      0.000007
      10717.9     |     1.00E+13     |      0.051872
      10717.9     |     3.16E+13     |      0.029522
      10717.9     |     9.99E+13     |      0.016717
      10717.9     |     3.16E+14     |      0.009439
      10717.9     |     9.97E+14     |      0.005321
      10717.9     |     3.15E+15     |      0.002997
      10717.9     |     9.96E+15     |      0.001687
      10717.9     |     3.15E+16     |      0.000949
      10717.9     |     9.94E+16     |      0.000534
      10717.9     |     3.14E+17     |      0.000300
      10717.9     |     9.93E+17     |      0.000169
      10717.9     |     3.14E+18     |      0.000095
      10717.9     |     9.91E+18     |      0.000054
      10717.9     |     3.13E+19     |      0.000030
      11789.7     |     1.00E+13     |      0.174624
      11789.7     |     3.16E+13     |      0.102440
      11789.7     |     9.99E+13     |      0.059005
      11789.7     |     3.16E+14     |      0.033637
      11789.7     |     9.97E+14     |      0.019064
      11789.7     |     3.15E+15     |      0.010770
      11789.7     |     9.96E+15     |      0.006073
      11789.7     |     3.15E+16     |      0.003421
      11789.7     |     9.94E+16     |      0.001926
      11789.7     |     3.14E+17     |      0.001084
      11789.7     |     9.93E+17     |      0.000610
      11789.7     |     3.14E+18     |      0.000343
      11789.7     |     9.91E+18     |      0.000193
