      Radius     |       Dichte
 ______________________________________
 
  1.0000E-01     |      0.9983342
  2.0000E-01     |      0.9933467
  3.0000E-01     |      0.9850674
  4.0000E-01     |      0.9735459
  5.0000E-01     |      0.9588511
  6.0000E-01     |      0.9410708
  7.0000E-01     |      0.9203110
  8.0000E-01     |      0.8966951
  9.0000E-01     |      0.8703632
  1.0000E+00     |      0.8414710
  1.1000E+00     |      0.8101885
  1.2000E+00     |      0.7766992
  1.3000E+00     |      0.7411986
  1.4000E+00     |      0.7038927
  1.5000E+00     |      0.6649967
  1.6000E+00     |      0.6247335
  1.7000E+00     |      0.5833322
  1.8000E+00     |      0.5410265
  1.9000E+00     |      0.4980527
  2.0000E+00     |      0.4546487
  2.1000E+00     |      0.4110521
  2.2000E+00     |      0.3674984
  2.3000E+00     |      0.3242197
  2.4000E+00     |      0.2814430
  2.5000E+00     |      0.2393889
  2.6000E+00     |      0.1982698
  2.7000E+00     |      0.1582888
  2.8000E+00     |      0.1196386
  2.9000E+00     |      0.0824998
  3.0000E+00     |      0.0470400
  3.1000E+00     |      0.0134131
