      Radius     |       Dichte       |       Masse
 ___________________________________________________________
 
  1.0000E-01     |      0.9979167     |   3.3250E-04
  2.0000E-01     |      0.9929053     |   2.6540E-03
  3.0000E-01     |      0.9846237     |   8.9140E-03
  4.0000E-01     |      0.9731054     |   2.0983E-02
  5.0000E-01     |      0.9584164     |   4.0614E-02
  6.0000E-01     |      0.9406439     |   6.9407E-02
  7.0000E-01     |      0.9198934     |   1.0878E-01
  8.0000E-01     |      0.8962883     |   1.5991E-01
  9.0000E-01     |      0.8699685     |   2.2377E-01
  1.0000E+00     |      0.8410895     |   3.0103E-01
  1.1000E+00     |      0.8098213     |   3.9207E-01
  1.2000E+00     |      0.7763474     |   4.9698E-01
  1.3000E+00     |      0.7408630     |   6.1553E-01
  1.4000E+00     |      0.7035742     |   7.4715E-01
  1.5000E+00     |      0.6646959     |   8.9098E-01
  1.6000E+00     |      0.6244512     |   1.0458E+00
  1.7000E+00     |      0.5830688     |   1.2101E+00
  1.8000E+00     |      0.5407824     |   1.3822E+00
  1.9000E+00     |      0.4978282     |   1.5598E+00
  2.0000E+00     |      0.4544440     |   1.7408E+00
  2.1000E+00     |      0.4108672     |   1.9225E+00
  2.2000E+00     |      0.3673333     |   2.1022E+00
  2.3000E+00     |      0.3240743     |   2.2771E+00
  2.4000E+00     |      0.2813170     |   2.4441E+00
  2.5000E+00     |      0.2392820     |   2.6002E+00
  2.6000E+00     |      0.1981815     |   2.7422E+00
  2.7000E+00     |      0.1582188     |   2.8671E+00
  2.8000E+00     |      0.1195860     |   2.9719E+00
  2.9000E+00     |      0.0824640     |   3.0537E+00
  3.0000E+00     |      0.0470203     |   3.1097E+00
  3.1000E+00     |      0.0134086     |   3.1375E+00
