      Radius     |       Dichte
 ______________________________________
 
  1.0000E-02     |      0.9999833
  2.0000E-02     |      0.9999333
  3.0000E-02     |      0.9998500
  4.0000E-02     |      0.9997334
  5.0000E-02     |      0.9995834
  6.0000E-02     |      0.9994001
  7.0000E-02     |      0.9991835
  8.0000E-02     |      0.9989337
  9.0000E-02     |      0.9986505
  1.0000E-01     |      0.9983342
  1.1000E-01     |      0.9979846
  1.2000E-01     |      0.9976017
  1.3000E-01     |      0.9971857
  1.4000E-01     |      0.9967365
  1.5000E-01     |      0.9962542
  1.6000E-01     |      0.9957388
  1.7000E-01     |      0.9951903
  1.8000E-01     |      0.9946087
  1.9000E-01     |      0.9939942
  2.0000E-01     |      0.9933467
  2.1000E-01     |      0.9926662
  2.2000E-01     |      0.9919528
  2.3000E-01     |      0.9912066
  2.4000E-01     |      0.9904276
  2.5000E-01     |      0.9896158
  2.6000E-01     |      0.9887714
  2.7000E-01     |      0.9878942
  2.8000E-01     |      0.9869845
  2.9000E-01     |      0.9860422
  3.0000E-01     |      0.9850674
  3.1000E-01     |      0.9840601
  3.2000E-01     |      0.9830205
  3.3000E-01     |      0.9819486
  3.4000E-01     |      0.9808444
  3.5000E-01     |      0.9797080
  3.6000E-01     |      0.9785395
  3.7000E-01     |      0.9773390
  3.8000E-01     |      0.9761065
  3.9000E-01     |      0.9748421
  4.0000E-01     |      0.9735459
  4.1000E-01     |      0.9722179
  4.2000E-01     |      0.9708582
  4.3000E-01     |      0.9694670
  4.4000E-01     |      0.9680442
  4.5000E-01     |      0.9665901
  4.6000E-01     |      0.9651046
  4.7000E-01     |      0.9635878
  4.8000E-01     |      0.9620399
  4.9000E-01     |      0.9604610
  5.0000E-01     |      0.9588511
  5.1000E-01     |      0.9572103
  5.2000E-01     |      0.9555387
  5.3000E-01     |      0.9538365
  5.4000E-01     |      0.9521037
  5.5000E-01     |      0.9503404
  5.6000E-01     |      0.9485468
  5.7000E-01     |      0.9467229
  5.8000E-01     |      0.9448689
  5.9000E-01     |      0.9429848
  6.0000E-01     |      0.9410708
  6.1000E-01     |      0.9391270
  6.2000E-01     |      0.9371535
  6.3000E-01     |      0.9351504
  6.4000E-01     |      0.9331179
  6.5000E-01     |      0.9310560
  6.6000E-01     |      0.9289649
  6.7000E-01     |      0.9268448
  6.8000E-01     |      0.9246956
  6.9000E-01     |      0.9225177
  7.0000E-01     |      0.9203110
  7.1000E-01     |      0.9180757
  7.2000E-01     |      0.9158120
  7.3000E-01     |      0.9135200
  7.4000E-01     |      0.9111999
  7.5000E-01     |      0.9088517
  7.6000E-01     |      0.9064756
  7.7000E-01     |      0.9040717
  7.8000E-01     |      0.9016403
  7.9000E-01     |      0.8991814
  8.0000E-01     |      0.8966951
  8.1000E-01     |      0.8941817
  8.2000E-01     |      0.8916413
  8.3000E-01     |      0.8890739
  8.4000E-01     |      0.8864799
  8.5000E-01     |      0.8838593
  8.6000E-01     |      0.8812123
  8.7000E-01     |      0.8785390
  8.8000E-01     |      0.8758396
  8.9000E-01     |      0.8731143
  9.0000E-01     |      0.8703632
  9.1000E-01     |      0.8675865
  9.2000E-01     |      0.8647844
  9.3000E-01     |      0.8619569
