      Radius     |       Dichte       |       Masse
 ___________________________________________________________
 
  1.0000E-04     |      1.0000000     |   3.3333E-13
  2.0000E-04     |      1.0000000     |   2.6667E-12
  3.0000E-04     |      1.0000000     |   9.0000E-12
  4.0000E-04     |      1.0000000     |   2.1333E-11
  5.0000E-04     |      1.0000000     |   4.1667E-11
  6.0000E-04     |      0.9999999     |   7.2000E-11
  7.0000E-04     |      0.9999999     |   1.1433E-10
  8.0000E-04     |      0.9999999     |   1.7067E-10
  9.0000E-04     |      0.9999999     |   2.4300E-10
  1.0000E-03     |      0.9999998     |   3.3333E-10
  1.1000E-03     |      0.9999998     |   4.4367E-10
  1.2000E-03     |      0.9999998     |   5.7600E-10
  1.3000E-03     |      0.9999997     |   7.3233E-10
  1.4000E-03     |      0.9999997     |   9.1467E-10
  1.5000E-03     |      0.9999996     |   1.1250E-09
  1.6000E-03     |      0.9999996     |   1.3653E-09
  1.7000E-03     |      0.9999995     |   1.6377E-09
  1.8000E-03     |      0.9999995     |   1.9440E-09
  1.9000E-03     |      0.9999994     |   2.2863E-09
  2.0000E-03     |      0.9999993     |   2.6667E-09
  2.1000E-03     |      0.9999993     |   3.0870E-09
  2.2000E-03     |      0.9999992     |   3.5493E-09
  2.3000E-03     |      0.9999991     |   4.0557E-09
  2.4000E-03     |      0.9999990     |   4.6080E-09
  2.5000E-03     |      0.9999990     |   5.2083E-09
  2.6000E-03     |      0.9999989     |   5.8587E-09
  2.7000E-03     |      0.9999988     |   6.5610E-09
  2.8000E-03     |      0.9999987     |   7.3173E-09
  2.9000E-03     |      0.9999986     |   8.1297E-09
  3.0000E-03     |      0.9999985     |   9.0000E-09
  3.1000E-03     |      0.9999984     |   9.9303E-09
  3.2000E-03     |      0.9999983     |   1.0923E-08
  3.3000E-03     |      0.9999982     |   1.1979E-08
  3.4000E-03     |      0.9999981     |   1.3101E-08
  3.5000E-03     |      0.9999980     |   1.4292E-08
  3.6000E-03     |      0.9999978     |   1.5552E-08
  3.7000E-03     |      0.9999977     |   1.6884E-08
  3.8000E-03     |      0.9999976     |   1.8291E-08
  3.9000E-03     |      0.9999975     |   1.9773E-08
  4.0000E-03     |      0.9999973     |   2.1333E-08
  4.1000E-03     |      0.9999972     |   2.2974E-08
  4.2000E-03     |      0.9999971     |   2.4696E-08
  4.3000E-03     |      0.9999969     |   2.6502E-08
  4.4000E-03     |      0.9999968     |   2.8395E-08
  4.5000E-03     |      0.9999966     |   3.0375E-08
  4.6000E-03     |      0.9999965     |   3.2445E-08
  4.7000E-03     |      0.9999963     |   3.4608E-08
  4.8000E-03     |      0.9999962     |   3.6864E-08
  4.9000E-03     |      0.9999960     |   3.9216E-08
  5.0000E-03     |      0.9999958     |   4.1667E-08
  5.1000E-03     |      0.9999957     |   4.4217E-08
  5.2000E-03     |      0.9999955     |   4.6869E-08
  5.3000E-03     |      0.9999953     |   4.9626E-08
  5.4000E-03     |      0.9999951     |   5.2488E-08
  5.5000E-03     |      0.9999950     |   5.5458E-08
  5.6000E-03     |      0.9999948     |   5.8538E-08
  5.7000E-03     |      0.9999946     |   6.1731E-08
  5.8000E-03     |      0.9999944     |   6.5037E-08
