      Radius     |       Dichte
 ______________________________________
 
  1.0000E-03     |      0.9999998
  2.0000E-03     |      0.9999993
  3.0000E-03     |      0.9999985
  4.0000E-03     |      0.9999973
  5.0000E-03     |      0.9999958
  6.0000E-03     |      0.9999940
  7.0000E-03     |      0.9999918
  8.0000E-03     |      0.9999893
  9.0000E-03     |      0.9999865
  1.0000E-02     |      0.9999833
  1.1000E-02     |      0.9999798
  1.2000E-02     |      0.9999760
  1.3000E-02     |      0.9999718
  1.4000E-02     |      0.9999673
  1.5000E-02     |      0.9999625
  1.6000E-02     |      0.9999573
  1.7000E-02     |      0.9999518
  1.8000E-02     |      0.9999460
  1.9000E-02     |      0.9999398
  2.0000E-02     |      0.9999333
  2.1000E-02     |      0.9999265
  2.2000E-02     |      0.9999193
  2.3000E-02     |      0.9999118
  2.4000E-02     |      0.9999040
  2.5000E-02     |      0.9998958
  2.6000E-02     |      0.9998873
  2.7000E-02     |      0.9998785
  2.8000E-02     |      0.9998693
  2.9000E-02     |      0.9998598
  3.0000E-02     |      0.9998500
  3.1000E-02     |      0.9998398
  3.2000E-02     |      0.9998293
  3.3000E-02     |      0.9998185
  3.4000E-02     |      0.9998073
  3.5000E-02     |      0.9997958
  3.6000E-02     |      0.9997840
  3.7000E-02     |      0.9997718
  3.8000E-02     |      0.9997594
  3.9000E-02     |      0.9997465
  4.0000E-02     |      0.9997334
  4.1000E-02     |      0.9997199
  4.2000E-02     |      0.9997060
  4.3000E-02     |      0.9996919
  4.4000E-02     |      0.9996774
  4.5000E-02     |      0.9996625
  4.6000E-02     |      0.9996474
  4.7000E-02     |      0.9996319
  4.8000E-02     |      0.9996160
  4.9000E-02     |      0.9995999
  5.0000E-02     |      0.9995834
  5.1000E-02     |      0.9995666
  5.2000E-02     |      0.9995494
  5.3000E-02     |      0.9995319
  5.4000E-02     |      0.9995141
  5.5000E-02     |      0.9994959
  5.6000E-02     |      0.9994774
  5.7000E-02     |      0.9994586
  5.8000E-02     |      0.9994394
  5.9000E-02     |      0.9994199
  6.0000E-02     |      0.9994001
  6.1000E-02     |      0.9993799
  6.2000E-02     |      0.9993595
  6.3000E-02     |      0.9993386
  6.4000E-02     |      0.9993175
  6.5000E-02     |      0.9992960
  6.6000E-02     |      0.9992742
  6.7000E-02     |      0.9992520
  6.8000E-02     |      0.9992295
  6.9000E-02     |      0.9992067
  7.0000E-02     |      0.9991835
  7.1000E-02     |      0.9991600
  7.2000E-02     |      0.9991362
  7.3000E-02     |      0.9991121
  7.4000E-02     |      0.9990876
  7.5000E-02     |      0.9990628
  7.6000E-02     |      0.9990376
  7.7000E-02     |      0.9990121
  7.8000E-02     |      0.9989863
  7.9000E-02     |      0.9989602
  8.0000E-02     |      0.9989337
  8.1000E-02     |      0.9989069
  8.2000E-02     |      0.9988797
  8.3000E-02     |      0.9988522
  8.4000E-02     |      0.9988244
  8.5000E-02     |      0.9987963
  8.6000E-02     |      0.9987678
  8.7000E-02     |      0.9987390
  8.8000E-02     |      0.9987098
  8.9000E-02     |      0.9986804
  9.0000E-02     |      0.9986505
  9.1000E-02     |      0.9986204
  9.2000E-02     |      0.9985899
  9.3000E-02     |      0.9985591
